Student_ID,Semester,Previous_Exam_Marks,Internal_Test_Marks,Assignment_Score,Quiz_Score,Attendance_Percentage,Class_Participation,Average,Improvement,Predicted_Category,Next_Year_Category
S0001,1,41,30.4,44.8,24.2,51,34.5,37.65,-10.6,Slow Learner,Slow Learner
S0001,2,21.1,26,37.6,29.2,44.9,31.6,31.73,4.9,Slow Learner,Slow Learner
S0001,3,39.8,33.3,45.9,43.7,38.9,49.9,41.92,-6.5,Slow Learner,Slow Learner
S0001,4,22.2,36.8,52.1,27.7,38.4,22,33.2,14.6,Slow Learner,Average Learner
S0001,5,58,61.4,58.3,64.8,53.6,46.8,57.15,3.4,Average Learner,Average Learner
S0001,6,59.5,68.8,52.8,66.4,68.5,68.4,64.07,9.3,Average Learner,Fast Learner
S0002,1,97.6,88,98.2,94.8,90,87.3,92.65,-9.6,Fast Learner,Fast Learner
S0002,2,72.8,87.1,77.7,96.7,100,94.6,88.15,14.3,Fast Learner,Fast Learner
S0002,3,97.8,95.5,80.1,96.6,81.6,78.3,88.32,-2.3,Fast Learner,Fast Learner
S0002,4,88.6,87.6,83.3,70.6,89.8,76.7,82.77,-1,Fast Learner,Fast Learner
S0002,5,67,50.9,52.8,61.7,54,61,57.9,-16.1,Average Learner,Average Learner
S0002,6,69.4,48.2,69.3,64.3,57.2,53.5,60.32,-21.2,Average Learner,Average Learner
S0003,1,60.9,55.5,62.6,65.2,54.5,57.9,59.43,-5.4,Average Learner,Average Learner
S0003,2,52.7,63.2,54.6,60.5,66.5,50.8,58.05,10.5,Average Learner,Fast Learner
S0003,3,61.8,71.4,62,69.3,71.1,52.8,64.73,9.6,Average Learner,Fast Learner
S0003,4,67.3,54.4,68.2,56.6,65.2,52,60.62,-12.9,Average Learner,Average Learner
S0003,5,49.8,49,63.4,64.9,59.4,54.5,56.83,-0.8,Average Learner,Average Learner
S0003,6,59.4,65.6,63.5,69.8,49.1,52.4,59.97,6.2,Average Learner,Average Learner
S0004,1,55.8,53.4,56.5,49.7,60.5,49.6,54.25,-2.4,Average Learner,Average Learner
S0004,2,87.7,76,87.2,89.7,79.3,83.4,83.88,-11.7,Fast Learner,Fast Learner
S0004,3,87,72.3,100,86.7,91.7,77.4,85.85,-14.7,Fast Learner,Fast Learner
S0004,4,80.2,74.4,97.3,69.4,93.5,94.8,84.93,-5.8,Fast Learner,Fast Learner
S0004,5,84.6,74,70.6,73.6,78.4,79.2,76.73,-10.6,Fast Learner,Fast Learner
S0004,6,69,51.4,67.1,62.4,62.4,57.5,61.63,-17.6,Average Learner,Average Learner
S0005,1,51.4,53.1,67.6,55.7,48.5,51.7,54.67,1.7,Average Learner,Average Learner
S0005,2,71.5,60,72.3,63.4,58.6,57.7,63.92,-11.5,Average Learner,Average Learner
S0005,3,83.3,71.7,69.9,74.1,98.6,84.6,80.37,-11.6,Fast Learner,Fast Learner
S0005,4,76.3,86.5,91.9,72.4,72.8,95.7,82.6,10.2,Fast Learner,Fast Learner
S0005,5,74.3,76,80.6,73.6,89.8,72.5,77.8,1.7,Fast Learner,Fast Learner
S0005,6,82.4,75.5,97.7,84.8,73.5,80.6,82.42,-6.9,Fast Learner,Fast Learner
S0006,1,48.5,54.2,66.2,51.3,60.8,53.2,55.7,5.7,Average Learner,Average Learner
S0006,2,54,71.2,68.9,69.1,59.7,49,61.98,17.2,Average Learner,Fast Learner
S0006,3,67.6,61.6,58.4,56.6,59.9,66.5,61.77,-6,Average Learner,Average Learner
S0006,4,70.1,49.6,70.2,57,63.4,62.1,62.07,-20.5,Average Learner,Average Learner
S0006,5,58.2,62,51.2,51.2,64.5,48.8,55.98,3.8,Average Learner,Average Learner
S0006,6,67.9,62.7,50.1,50.2,52.6,62.9,57.73,-5.2,Average Learner,Average Learner
S0007,1,63,57.2,52.9,50.9,62.8,66.6,58.9,-5.8,Average Learner,Average Learner
S0007,2,61.2,49.4,72.4,68.7,55.8,69.7,62.87,-11.8,Average Learner,Average Learner
S0007,3,72.4,52.1,55.1,56.9,60.4,63.4,60.05,-20.3,Average Learner,Average Learner
S0007,4,67.4,70.3,69.4,71.4,54.8,64.6,66.32,2.9,Average Learner,Average Learner
S0007,5,73.2,69.1,49.1,53.6,52.3,65.6,60.48,-4.1,Average Learner,Average Learner
S0007,6,61.5,53.5,61.4,62.2,67.7,64.4,61.78,-8,Average Learner,Average Learner
S0008,1,26.2,48.2,41,29.9,43.8,46.1,39.2,22,Slow Learner,Average Learner
S0008,2,43.6,29.7,38.4,38,48,48.1,40.97,-13.9,Slow Learner,Slow Learner
S0008,3,57.9,58.3,51.8,54.9,61.9,64.5,58.22,0.4,Average Learner,Average Learner
S0008,4,50.5,56,58.6,66.8,60.2,65.8,59.65,5.5,Average Learner,Average Learner
S0008,5,50.9,54.3,64.8,51.7,64.1,64.1,58.32,3.4,Average Learner,Average Learner
S0008,6,52.7,55.3,50.2,67.2,64.9,66.5,59.47,2.6,Average Learner,Average Learner
S0009,1,81.5,87.2,87.6,75.5,80.9,80,82.12,5.7,Fast Learner,Fast Learner
S0009,2,69.6,94.6,80,87.2,77.5,99.7,84.77,25,Fast Learner,Fast Learner
S0009,3,85.6,75.3,70.8,92.4,83.1,84.3,81.92,-10.3,Fast Learner,Fast Learner
S0009,4,100,70.9,70.6,79.7,77.6,78.7,79.58,-29.1,Fast Learner,Fast Learner
S0009,5,84.2,70.3,73.8,94.9,75,88.2,81.07,-13.9,Fast Learner,Fast Learner
S0009,6,96.9,72.3,81.1,78.1,91.8,100,86.7,-24.6,Fast Learner,Fast Learner
S0010,1,56.4,50.7,51.6,53.4,54,68.4,55.75,-5.7,Average Learner,Average Learner
S0010,2,60.8,48.7,68.4,65.3,48,67.1,59.72,-12.1,Average Learner,Average Learner
S0010,3,21.3,46.9,37,45.4,29.3,44.4,37.38,25.6,Slow Learner,Average Learner
S0010,4,59.5,65,68.2,48.7,52.2,64.1,59.62,5.5,Average Learner,Average Learner
S0010,5,50,55.8,52.8,57.1,65.7,55.4,56.13,5.8,Average Learner,Average Learner
S0010,6,58.5,66.3,54.4,55.8,61.8,53.2,58.33,7.8,Average Learner,Average Learner
S0011,1,96.9,75.1,85.2,87.9,71,80.9,82.83,-21.8,Fast Learner,Fast Learner
S0011,2,95.8,78.5,96.3,99,93.9,74.6,89.68,-17.3,Fast Learner,Fast Learner
S0011,3,97.7,100,88.3,73.3,92.9,72,87.37,2.3,Fast Learner,Fast Learner
S0011,4,96.7,72.1,94.3,100,97.2,88.3,91.43,-24.6,Fast Learner,Fast Learner
S0011,5,73.2,91.3,83,98.3,93.7,77.4,86.15,18.1,Fast Learner,Fast Learner
S0011,6,69.3,92.9,75.6,77.4,68.1,89.7,78.83,23.6,Fast Learner,Fast Learner
S0012,1,53.2,56.6,49.6,66.3,57.8,66.2,58.28,3.4,Average Learner,Average Learner
S0012,2,93.3,91.8,89.7,77.6,99,90.3,90.28,-1.5,Fast Learner,Fast Learner
S0012,3,98.2,75,81.7,73.2,93.4,99,86.75,-23.2,Fast Learner,Fast Learner
S0012,4,97,92.8,79.3,92.9,77.2,93.8,88.83,-4.2,Fast Learner,Fast Learner
